dt_sold,bedroom,bathroom,gar_car,oa_qual,liv_area,lot_area,house_style,kit_qual,heat_qual,central_air,sale_price
2010-03-25,3,2.5,2,6,1479,13517,2Story,Good,Excellent,Y,130.5
2009-04-10,4,3.5,2,7,2122,11492,2Story,Good,Excellent,Y,NA
2010-01-15,3,2,1,5,1057,7922,1Story,Good,Average,Y,109
2010-04-19,3,2.5,2,5,1444,9802,2Story,Average,Good,Y,174
2010-03-22,3,2,2,6,1445,14235,1.5Fin,Average,Average,Y,138.5
2010-06-06,2,2.5,2,6,1888,16492,1Story,Good,Excellent,Y,190
2006-06-14,2,3,2,6,1072,3675,SFoyer,Average,Good,Y,140
2010-05-08,3,2,2,5,1188,12160,1Story,Average,Fair,Y,142
2007-06-14,2,1,1,5,924,15783,1Story,Average,Average,Y,112.5
2007-09-01,5,2.5,2,5,2080,11606,2Story,Fair,Average,Y,135
2008-07-05,2,1.5,1,6,987,1680,2Story,Average,Average,Y,85.4
2006-02-16,2,2,2,7,1208,7488,1Story,Good,Excellent,Y,183.6
2009-06-03,4,1,2,5,2016,26400,2Story,Average,Excellent,Y,131
2008-12-25,3,3.5,2,8,1607,2645,2Story,Good,Excellent,Y,200
2008-06-16,3,2,2,7,1361,9627,1Story,Good,Excellent,Y,193
2010-03-04,3,2,2,5,1430,10114,1Story,Good,Excellent,Y,173.5
2008-05-09,4,1,3,5,1344,4571,2Story,Average,Fair,N,98
2009-06-28,3,2,2,5,1121,8816,1Story,Average,Average,Y,139
2007-04-11,3,1.5,2,6,1285,8197,1Story,Average,Excellent,Y,143.5
2010-06-07,3,2.5,2,7,1547,8640,2Story,Good,Excellent,Y,215.2
2007-05-17,3,1,2,5,894,8724,1Story,Average,Good,Y,129
2009-10-20,2,3,2,8,1659,5664,1Story,Excellent,Excellent,Y,278
2006-07-15,3,2.5,2,8,2253,12867,2Story,Excellent,Excellent,Y,344.133
2006-01-15,3,2,2,NA,1056,34650,1Story,Average,Average,N,145
2009-04-24,3,3,2,6,1453,10573,1Story,Average,Excellent,Y,187.5
2010-04-05,3,2,1,5,894,8450,1Story,Average,Excellent,Y,138.5
2008-07-16,4,2,1,5,1938,11700,1.5Fin,Good,Excellent,Y,198
2007-06-28,4,2,0,5,1991,8250,2Story,Average,Fair,N,119.6
2007-07-15,3,1,2,5,924,8064,1.5Fin,Average,Excellent,Y,122.9
2009-07-23,4,3.5,2,8,2524,9600,1Story,Good,Average,Y,278
2006-06-15,3,1,2,8,1517,11435,2Story,Good,Fair,Y,230
2006-04-20,2,2.5,2,8,1494,9549,1Story,Excellent,Excellent,Y,270
